	1:Selke	(Global radiation)	DAILY								
	nodata	-9999													
	start	2010	1	1	0	0	(YYYY	MM	DD	HH	MM)
	end	2016	1	1	0	0	(YYYY	MM	DD	HH	MM)
Date	G-R
2012 08 07	16.540
2012 08 08	18.706
2012 08 09	10.884
2012 08 10	8.812
2012 08 11	16.470
2012 08 12	23.263
2012 08 13	25.060
2012 08 14	24.332
2012 08 15	24.403
2012 08 16	12.084
2012 08 17	20.823
2012 08 18	23.789
2012 08 19	23.775
2012 08 20	15.982
2012 08 21	10.803
2012 08 22	16.522
2012 08 23	21.924
2012 08 24	7.566
2012 08 25	16.422
2012 08 26	10.882
2012 08 27	18.583
2012 08 28	11.555
2012 08 29	17.862
2012 08 30	6.201
2012 08 31	7.926
2012 09 01	15.426
2012 09 02	15.179
2012 09 03	15.165
2012 09 04	19.384
2012 09 05	9.942
2012 09 06	14.504
2012 09 07	8.746
2012 09 08	11.574
2012 09 09	17.804
2012 09 10	17.195
2012 09 11	6.963
2012 09 12	7.752
2012 09 13	13.012
2012 09 14	10.562
2012 09 15	7.797
2012 09 16	16.191
2012 09 17	15.192
2012 09 18	11.436
2012 09 19	12.121
2012 09 20	12.457
2012 09 21	8.957
2012 09 22	9.934
2012 09 23	9.988
2012 09 24	4.961
2012 09 25	5.844
2012 09 26	4.164
2012 09 27	7.000
2012 09 28	9.402
2012 09 29	8.641
2012 09 30	13.459
2012 10 01	13.058
2012 10 02	9.360
2012 10 03	8.171
2012 10 04	3.680
2012 10 05	3.621
2012 10 06	3.814
2012 10 07	8.304
2012 10 08	7.109
2012 10 09	6.617
2012 10 10	4.210
2012 10 11	7.759
2012 10 12	4.929
2012 10 13	8.989
2012 10 14	6.575
2012 10 15	3.953
2012 10 16	7.863
2012 10 17	5.857
2012 10 18	8.464
2012 10 19	8.784
2012 10 20	8.373
2012 10 21	8.453
2012 10 22	2.698
2012 10 23	2.649
2012 10 24	2.601
2012 10 25	2.619
2012 10 26	6.867
2012 10 27	3.094
2012 10 28	5.221
2012 10 29	7.145
2012 10 30	2.751
2012 10 31	6.946
2012 11 01	2.303
2012 11 02	4.759
2012 11 03	2.220
2012 11 04	2.801
2012 11 05	2.750
