	3:Selke	(Abfluss)	DAILY								
	nodata	-9999									
	n	1	measurements	per	day	"[1,"	1440]				
	start	1993	1	1	0	0	(YYYY	MM	DD	HH	MM)
	end	2016	1	1	0	0	(YYYY	MM	DD	HH	MM)
YYYY	MM	DD	HH	NN	IN						
1995	1	3	0	0	-9999						
1995	1	4	0	0	-9999						
1995	1	5	0	0	-9999						
1995	1	6	0	0	-9999						
1995	1	7	0	0	-9999						
1995	1	8	0	0	-9999						
1995	1	9	0	0	-9999						
1995	1	10	0	0	-9999						
1995	1	11	0	0	-9999						
1995	1	12	0	0	-9999						
1995	1	13	0	0	-9999						
1995	1	14	0	0	-9999						
1995	1	15	0	0	-9999						
1995	1	16	0	0	2.62						
1995	1	17	0	0	-9999						
1995	1	18	0	0	-9999						
1995	1	19	0	0	-9999						
1995	1	20	0	0	-9999						
1995	1	21	0	0	-9999						
1995	1	22	0	0	-9999						
1995	1	23	0	0	-9999						
1995	1	24	0	0	-9999						
1995	1	25	0	0	-9999						
1995	1	26	0	0	-9999						
1995	1	27	0	0	-9999						
1995	1	28	0	0	-9999						
1995	1	29	0	0	-9999						
1995	1	30	0	0	-9999						
1995	1	31	0	0	-9999						
1995	2	1	0	0	-9999						
1995	2	2	0	0	-9999						
1995	2	3	0	0	-9999						
1995	2	4	0	0	-9999						
1995	2	5	0	0	-9999						
1995	2	6	0	0	3						
1995	2	7	0	0	-9999						
1995	2	8	0	0	-9999						
1995	2	9	0	0	-9999						
1995	2	10	0	0	-9999						
1995	2	11	0	0	-9999						
1995	2	12	0	0	-9999						
1995	2	13	0	0	-9999						
1995	2	14	0	0	-9999						
1995	2	15	0	0	-9999						
1995	2	16	0	0	-9999						
1995	2	17	0	0	-9999						
1995	2	18	0	0	-9999						
1995	2	19	0	0	-9999						
1995	2	20	0	0	-9999						
1995	2	21	0	0	-9999						
1995	2	22	0	0	-9999						
1995	2	23	0	0	-9999						
1995	2	24	0	0	-9999						
1995	2	25	0	0	-9999						
1995	2	26	0	0	-9999						
1995	2	27	0	0	-9999						
1995	2	28	0	0	-9999						
1995	3	1	0	0	-9999						
1995	3	2	0	0	-9999						
1995	3	3	0	0	-9999						
1995	3	4	0	0	-9999						
1995	3	5	0	0	-9999						
1995	3	6	0	0	-9999						
1995	3	7	0	0	-9999						
1995	3	8	0	0	-9999						
1995	3	9	0	0	-9999						
1995	3	10	0	0	-9999						
1995	3	11	0	0	-9999						
1995	3	12	0	0	-9999						
1995	3	13	0	0	-9999						
1995	3	14	0	0	-9999						
1995	3	15	0	0	-9999						
1995	3	16	0	0	-9999						
1995	3	17	0	0	-9999						
1995	3	18	0	0	-9999						
1995	3	19	0	0	-9999						
1995	3	20	0	0	2.34						
1995	3	21	0	0	-9999						
1995	3	22	0	0	-9999						
1995	3	23	0	0	-9999						
1995	3	24	0	0	-9999						
1995	3	25	0	0	-9999						
1995	3	26	0	0	-9999						
1995	3	27	0	0	-9999						
1995	3	28	0	0	-9999						
1995	3	29	0	0	-9999						
1995	3	30	0	0	-9999						
1995	3	31	0	0	-9999						
1995	4	1	0	0	-9999						
1995	4	2	0	0	-9999						
1995	4	3	0	0	-9999						
1995	4	4	0	0	-9999						
1995	4	5	0	0	-9999						
1995	4	6	0	0	-9999						
1995	4	7	0	0	-9999						
1995	4	8	0	0	-9999						
1995	4	9	0	0	-9999						
1995	4	10	0	0	-9999						
